№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
400	155	108	2	2		Cabarete		West	3365	1,44	1,33
401	155	110	2	2		Sosua		Coral	8070	1,41	1,31
402	155	116	2	2	1,4	Sosua		C21	2759	1,34	1,24
403	157	65	1	1	0,1	Cabarete		KI	429	2,42	2,25
404	158	115	2	2		Sosua		Coral	4019	1,37	1,28
405	159	65	1	1	0,1	Cabarete		KI	257	2,45	2,27
406	159	115	2	2		Sosua		West	3580	1,38	1,29
407	159,9	95	2	1		Cabarete		Coral	6190	1,68	1,57
408	160	90	2	2		Cabarete		DR	1506	1,78	1,65
409	160	95	2	2		Cabarete		Coral	6275	1,68	1,57
410	160	110	2	2		Cabarete		DR	3934	1,45	1,35
411	160	115	2	2		Sosua		Coral	9041	1,39	1,29
412	160	124	1	1,5		Sosua		Coral	6235	1,29	1,2
413	160	127	2	2		Sosua		DR	873	1,26	1,17
414	160	131	2	2		Sosua		Coral	9108	1,22	1,14
415	160	186	2	2,5		Cabarete		C21	679	0,86	0,8
416	163	101	2	1		Cabarete		C21	2844	1,61	1,5
417	164	95	2	1,5		Cabarete		C21	1880	1,73	1,61
418	165	64	1	1		Cabarete	2006	KI	357	2,58	2,4
419	165	87	2,3	2,3		Cabarete		C21	2643	1,9	1,76
420	165	90	2	2		Sosua		Coral	6055	1,83	1,71
421	165	118	2	2		Cabarete	2000	KI	383	1,4	1,3
422	165	122	2	2,5		Sosua		West	2556	1,35	1,26
423	165	135	2	2		Sosua		West	2975	1,22	1,14
424	165	138	2	2	0,5	Sosua		C21	2348	1,2	1,11
425	165	140	3	2		Sosua		West	3378	1,18	1,1
426	165	188	2	2	0,5	Cabarete		KI	196	0,88	0,82
427	166	108	2	2		Cabarete		Coral	6072	1,54	1,43
428	166	129	2	2,5		Cabarete		West	2405	1,29	1,2
429	167	118	2	1,5		Cabarete		Coral	8201	1,42	1,32
430	169	95	2	1		Cabarete		C21	2714	1,78	1,65
431	169	100	2	1		Cabarete		C21	2991	1,69	1,57
432	170	96	2	2	0,1	Sosua		C21	2575	1,77	1,65
433	170	126	2	2		Sosua		DR	864	1,35	1,25
434	170	132	3	2		Cabarete		C21	2059	1,29	1,2
435	170	140	4	3		Sosua		Coral	8035	1,21	1,13
436	170	150	3	3		Sosua		West	3377	1,13	1,05
437	170	160	2	2		Sosua		West	3551	1,06	0,99
438	170	165	3	2,5		Cabarete		West	3680	1,03	0,96
439	171	71	1	1		Cabarete		West	3675	2,41	2,24
440	171	90	2	2		Cabarete	2006	KI	390	1,9	1,77
441	173	93	1	1		Cabarete		DR	3913	1,86	1,73
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
442	173	135	2	2		Sosua		DR	3921	1,28	1,19
443	174,8	110	2	2		Cabarete		Coral	6038	1,59	1,48
444	175	66	1	1		Sosua		West	3735	2,65	2,47
445	175	87	1	1		Cabarete		West	2538	2,01	1,87
446	175	93	2	1		Cabarete		West	3780	1,88	1,75
447	175	100	2	1		Cabarete		Coral	1031	1,75	1,63
448	175	112	2	2	0,4	Cabarete		C21	2760	1,56	1,45
449	175	115	2	2		Cabarete		C21	2433	1,52	1,42
450	175	117	2	3		Cabarete	2009	KI	428	1,5	1,39
451	175	165	3	2,5	0,8	Cabarete		C21	2887	1,06	0,99
452	175	170	2	2		Sosua		DR	1067	1,03	0,96
453	175,5	135	2	2		Sosua	2010	KI	346	1,3	1,21
454	175,5	230	2	3		Sosua		KI	350	0,76	0,71
455	176	73	1	1		Cabarete		Coral	9036	2,41	2,24
456	176,5	101	2	1		Cabarete		Coral	9069	1,75	1,63
457	177	76	1	1	0,1	Cabarete		KI	343	2,33	2,17
458	179	89	2	1		Sosua		Coral	8022	2,01	1,87
459	179	127	2	2		Sosua		Coral	9040	1,41	1,31
460	179	138	2	2,5		Cabarete		Coral	6262	1,3	1,21
461	180	65	1	1	0,1	Cabarete		C21	2866	2,77	2,58
462	180	88	2	2	0,2	Cabarete		KI	334	2,05	1,9
463	180	98	2	2		Cabarete		C21	1809	1,84	1,71
464	180	120	2	2	0,3	Cabarete		KI	364	1,5	1,4
465	181	87	1	1		Cabarete		Coral	7009	2,08	1,93
466	185	73	1	1		Sosua		C21	2922	2,53	2,36
467	185	121	2	2		Sosua		DR	1936	1,53	1,42
468	185	123	2	3		Sosua		DR	3970	1,5	1,4
469	185	123	2	2		Sosua		Coral	8052	1,5	1,4
470	185	124	2	2		Cabarete		C21	1950	1,49	1,39
471	185	125	2	2		Cabarete		DR	1416	1,48	1,38
472	185	145	2	2		Cabarete		West	2754	1,28	1,19
473	185	145	2	2		Cabarete		Coral	6191	1,28	1,19
474	185	150	2	2		Cabarete		West	2590	1,23	1,15
475	186	160	1	1		Cabarete		DR	862	1,16	1,08
476	187	58	1	1		Cabarete		C21	2332	3,22	3
477	187	134	2	2		Cabarete		KI	265	1,4	1,3
478	187,7	93	2	1		Cabarete		West	3426	2,02	1,88
479	189	55	3	2		Sosua		DR	75	3,44	3,2
480	189	127	2	2		Sosua		Coral	75	1,49	1,38
481	189	140	2	2		Cabarete		Coral	5012	1,35	1,26
482	189	206	3	2		Sosua		DR	860	0,92	0,85
483	190	84	1	1		Sosua		C21	3134	2,26	2,1
484	190	102	2	2		Sosua		West	3373	1,86	1,73
485	190	166	2	2,5		Cabarete		C21	2715	1,14	1,06
486	194	102	1	1	0,1	Cabarete		C21	2973	1,9	1,77
487	194	152	3	2		Sosua		DR	3920	1,28	1,19
488	194	153	3	2		Sosua		West	2983	1,27	1,18
489	195	74	1	1		Sosua		Coral	8017	2,64	2,45
490	195	90	2	2		Cabarete		KI	358	2,17	2,02
491	195	93	2	1	0,1	Cabarete		C21	2712	2,1	1,95
492	195	95	2	1	0,1	Cabarete		C21	1688	2,05	1,91
493	195	102	2	2		Sosua		Coral	8060	1,91	1,78
494	195	113	2	2	0,4	Cabarete		C21	2808	1,73	1,6
495	195	121	2	2		Cabarete		West	1999	1,61	1,5
496	195	650	2	2		Sosua		KI	299	0,3	0,28
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
497	197	85	1	1		Cabarete	2007	KI	332	2,32	2,16
498	199	83	1	1		Cabarete	2003	KI	338	2,4	2,23
499	199	104	2	2	0,1	Cabarete		C21	2393	1,91	1,78
500	199	110	2	1		Cabarete		KI	440	1,81	1,68
501	199	112	2	2		Cabarete		Coral	6132	1,78	1,65
502	199	115	2	2,5		Cabarete		West	2504	1,73	1,61
503	199	115	2	2		Cabarete		Coral	6075	1,73	1,61
504	199	130	3	2,5		Sosua	2015	DR	4114	1,53	1,42
505	199	140	2	2		Sosua		KI	294	1,42	1,32
506	199	155	2	2		Sosua		Coral	8059	1,28	1,19
507	199	160	3	2		Sosua		DR	1455	1,24	1,16
508	200	88	2	2	0,1	Cabarete		C21	2154	2,27	2,11
509	200	115	2	2		Cabarete		DR	3901	1,74	1,62
510	200	136	2	2,5		Cabarete		West	2269	1,47	1,37
511	200	140	2	2		Cabarete		DR	3867	1,43	1,33
512	205	120	2	2	0,1	Cabarete		C21	2979	1,71	1,59
513	205	172	3	2		Cabarete	2009	KI	427	1,19	1,11
514	210	82	1	1		Sosua		Coral	9114	2,56	2,38
515	210	112	2	2	0,1	Cabarete		C21	2977	1,88	1,74
516	210	125	2	2		Cabarete		Coral	115	1,68	1,56
517	210	139	2	2		Sosua		Coral	8036	1,51	1,41
518	210	145	2	2		Cabarete		West	2122	1,45	1,35
519	210	150	2	2		Sosua	2009	KI	454	1,4	1,3
520	214	112	2	2		Sosua		DR	4048	1,91	1,78
521	215	87	1	1		Cabarete		Coral	6119	2,47	2,3
522	215	102	2	2,5		Cabarete		West	3459	2,11	1,96
523	215	105	2	2		Sosua		Coral	9100	2,05	1,9
524	215	123	2	2		Cabarete		Coral	6101	1,75	1,63
525	218	160	2	2		Cabarete		Coral	6182	1,36	1,27
526	219	110	2	2,5		Cabarete		Coral	6207	1,99	1,85
527	219	144	3	3	0,3	Cabarete		C21	2600	1,52	1,41
528	219,9	110	2	2		Sosua		Coral	6273	2	1,86
529	220	80	1	1		Sosua		DR	4016	2,75	2,56
530	220	100	1	2	0,5	Sosua			2663	2,2	2,05
531	220	101	2	2		Sosua		Coral	24	2,18	2,03
532	220	104	2	2		Cabarete		C21	2392	2,12	1,97
533	220	112	2	2		Cabarete		C21	1730	1,96	1,83
534	220	112	1	2		Sosua		West	3761	1,96	1,83
535	220	150	2	2		Cabarete		West	3598	1,47	1,36
536	220	150	2	2		Cabarete		West	3750	1,47	1,36
537	222	131	2	2		Cabarete		C21	2653	1,69	1,58
538	223	122	2	2	0,1	Cabarete		C21	2634	1,83	1,7
539	223	135	2	2		Cabarete		West	3634	1,65	1,54
540	225	90	2	2		Cabarete		Coral	6230	2,5	2,33
541	225	95	2	2		Cabarete		Coral	6099	2,37	2,2
542	225	101	2	1	0,1	Cabarete		C21	3102	2,23	2,07
543	225	102	2	2		Cabarete		West	1077	2,21	2,05
544	225	107	2	2	0,3	Cabarete		C21	2870	2,1	1,96
545	225	120	2	2	0,1	Cabarete		C21	1663	1,88	1,74
546	225	135	3	3		Sosua	2008	KI	398	1,67	1,55
547	225	136	2	2	1	Cabarete		C21	2349	1,65	1,54
548	226	122	2	2,5		Cabarete		West	3666	1,85	1,72
549	228	140	2	2		Cabarete		Coral	6265	1,63	1,51
550	229	90	1	1		Cabarete		DR	1111	2,54	2,37
551	229	112	2	2		Cabarete		C21	2909	2,04	1,9
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
552	229	188	2,5	3,5	0,1	Cabarete		C21	2796	1,22	1,13
553	229	279	2	2	0,9	Sosua		C21	1559	0,82	0,76
554	230	89	2	1		Sosua		KI	433	2,58	2,4
555	230	110	2	2		Sosua		C21	2953	2,09	1,94
556	230	112	2	2		Cabarete		C21	2333	2,05	1,91
557	230	150	2	2		Sosua		Coral	6258	1,53	1,43
558	230	161	3	3,5	0,1	Cabarete		C21	2375	1,43	1,33
559	230	166	2	2		Sosua		West	3617	1,39	1,29
560	232	100	2	2		Cabarete		DR	3945	2,32	2,16
561	232	159	2	2		Sosua		DR	858	1,46	1,36
562	232	159	2	2		Sosua		DR	1086	1,46	1,36
563	235	102	2	2		Cabarete		West	1076	2,3	2,14
564	235	105	2	2,5	0,1	Sosua		C21	2871	2,24	2,08
565	235	112	2	2		Cabarete		West	2945	2,1	1,95
566	235	116	2	2,5		Cabarete		West	3749	2,03	1,88
567	235	127	2	2		Cabarete		C21	2900	1,85	1,72
568	235	205	2	2,5		Cabarete		DR	3843	1,15	1,07
569	237	118	2	1		Cabarete		Coral	9034	2,01	1,87
570	238	127	2	2		Cabarete		KI	384	1,87	1,74
571	239	106	2	2		Cabarete	2009	KI	198	2,25	2,1
572	239	108	2	2		Cabarete		Coral	4056	2,21	2,06
573	239	120	2	2		Cabarete		Coral	5016	1,99	1,85
574	239	133	2	2		Cabarete		Coral	9038	1,8	1,67
575	239	150	3	1,5	1,5	Cabarete		C21	3128	1,59	1,48
576	239	152	2	2	0,1	Cabarete		C21	2890	1,57	1,46
577	239,5	110	2	2		Cabarete		Coral	5044	2,18	2,02
578	240	92	2	2	0,3	Cabarete		C21	3012	2,61	2,43
579	240	100	2	1		Cabarete		Coral	137	2,4	2,23
580	240	128	3	2		Cabarete		DR	3912	1,88	1,74
581	240	143	2	2,5		Sosua		Coral	6244	1,68	1,56
582	240	198	3	4	0,4	Cabarete		KI	420	1,21	1,13
583	240	198	3	3,5		Cabarete		West	3436	1,21	1,13
584	240	230	3	3,5		Cabarete		Coral	9012	1,04	0,97
585	243	128	2	2		Cabarete		DR	854	1,9	1,77
586	243	128	2	2		Cabarete		DR	855	1,9	1,77
587	245	100	2	2		Cabarete		DR	3892	2,45	2,28
588	245	105	2	2		Cabarete		Coral	116	2,33	2,17
589	245	117	2	2,5		Sosua		C21	2976	2,09	1,95
590	245	122	2	2		Cabarete		DR	964	2,01	1,87
591	245	126	2	2		Cabarete		DR	2453	1,94	1,81
592	245	128	2	2	0,1	Sosua		C21	2489	1,91	1,78
593	245	145	2	2	0,5	Sosua		C21	2318	1,69	1,57
594	247	101	1	1		Sosua		Coral	6250	2,45	2,27
595	248	99	2	2		Cabarete		West	3322	2,51	2,33
596	249	45	1	1		Cabarete		Coral	6062	5,53	5,15
597	249	83	1	1		Cabarete		DR	1094	3	2,79
598	249	83	1	1		Cabarete		DR	2452	3	2,79
599	249	90	2	2		Cabarete		Coral	9072	2,77	2,57
600	249	100	3	1,5		Cabarete		West	3689	2,49	2,32
601	249	102	2	1,5		Cabarete		C21	3104	2,44	2,27
602	249	112	2	2		Cabarete		C21	2954	2,22	2,07
603	249	120	2	2		Cabarete		C21	1857	2,08	1,93
604	249	120	2	2		Cabarete		C21	3109	2,08	1,93
605	249	128	2	2		Cabarete		DR	3860	1,95	1,81
606	249	145	3	2		Cabarete		C21	2933	1,72	1,6
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
607	249	146	2	2,5		Cabarete		C21	2428	1,71	1,59
608	249	160	2	2		Cabarete		KI	442	1,56	1,45
609	249	237	3	1,5		Cabarete		Coral	9088	1,05	0,98
610	249	320	4	3		Cabarete		Coral	9051	0,78	0,72
611	249,75	120	2	2		Cabarete		C21	2972	2,08	1,94
612	249,9	120	2	2		Cabarete		C21	2799	2,08	1,94
613	250	112	2	2		Cabarete		C21	2971	2,23	2,08
614	250	150	2	2		Sosua		C21	2817	1,67	1,55
615	250	184	2	3		Sosua		DR	1052	1,36	1,26
616	250	198	3	3,5		Cabarete		West	2804	1,26	1,17
617	250	400	3	3		Sosua		DR	4000	0,63	0,58
618	255	85	1	1		Cabarete	2011	KI	298	3	2,79
619	255	104	2	2	0,1	Cabarete		C21	2650	2,45	2,28
620	255	112	1	1,5		Sosua		C21	2921	2,28	2,12
621	255,9	140	2	2		Cabarete		Coral	6264	1,83	1,7
622	256	116	3	2,5		Cabarete		West	3460	2,21	2,05
623	256	122	2	2		Cabarete		C21	2827	2,1	1,95
624	258	120	2	2		Cabarete		C21	2372	2,15	2
625	259	125	2	2		Cabarete		Coral	6092	2,07	1,93
626	259	127				Cabarete		Coral	6226	2,04	1,9
627	259	152	2	2		Cabarete		C21	2896	1,7	1,58
628	259,5	120	2	2		Cabarete		C21	2970	2,16	2,01
629	259,9	101	2	1		Sosua		Coral	8053	2,57	2,39
630	260	115	2	2		Cabarete	2008	KI	306	2,26	2,1
631	260	145	2	2		Cabarete		C21	2941	1,79	1,67
632	261,5	113	2	2		Cabarete		Coral	3009	2,31	2,15
633	265	165	3	3,5		Cabarete		Coral	6236	1,61	1,49
634	265	191	3	3,5		Cabarete		C21	2895	1,39	1,29
635	267	116	3	2		Cabarete	2007	KI	266	2,3	2,14
636	268	151	3	3		Sosua		DR	3752	1,77	1,65
637	268	231	1	1	0,5	Cabarete		C21	2536	1,16	1,08
638	269	90	1	1		Sosua	2005	KI	344	2,99	2,78
639	269	117	2	3		Sosua	2011	KI	408	2,3	2,14
640	269	120	2	2		Sosua		DR	978	2,24	2,08
641	269	128	2	2		Sosua		DR	2864	2,1	1,95
642	269	137	3	2,5		Cabarete		C21	2364	1,96	1,83
643	269	183	3	2		Cabarete		C21	2858	1,47	1,37
644	269	190	3	3,5		Cabarete		West	3575	1,42	1,32
645	269	205	2	2		Cabarete		West	2199	1,31	1,22
646	269	220	2	2		Sosua		Coral	6260	1,22	1,14
647	270	230	3	3,5		Sosua		Coral	71	1,17	1,09
648	270	234	3	3		Cabarete		Coral	6219	1,15	1,07
649	275	104	2	2		Sosua		West	2887	2,64	2,46
650	275	117	2	2		Sosua		Coral	9084	2,35	2,19
651	275	120	2	2		Cabarete		Coral	6234	2,29	2,13
652	275	125	2	2		Cabarete		Coral	6217	2,2	2,05
653	275	126	2	2		Cabarete		Coral	6116	2,18	2,03
654	275	128	2	2		Sosua		West	3796	2,15	2
655	275	130	2,5	2,5		Cabarete		C21	641	2,12	1,97
656	275	130	2	2		Cabarete		C21	1470	2,12	1,97
657	275	138	2	2		Cabarete		C21	2803	1,99	1,85
658	275	139	2	2		Cabarete		West	3717	1,98	1,84
659	275	139	3	2		Sosua		Coral	6245	1,98	1,84
660	275	145	2	2		Sosua		DR	3944	1,9	1,76
661	275	166	2	2		Sosua		Coral	9103	1,66	1,54
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
662	275	176	2	2,5		Sosua		Coral	6193	1,56	1,45
663	275	196	3	3		Cabarete		C21	2411	1,4	1,3
664	276	112	1	1,5		Sosua		Coral	4054	2,46	2,29
665	278	116	2	2		Sosua		C21	2415	2,4	2,23
666	278	153	2	2,5		Sosua		DR	3999	1,82	1,69
667	279	102	2	2		Cabarete		KI	312	2,74	2,54
668	279	137	3	3		Cabarete		West	2437	2,04	1,89
669	279	140	2	2		Sosua		Coral	6222	1,99	1,85
670	279	200	3	3,5		Cabarete		DR	3896	1,4	1,3
671	279	220	3	3		Cabarete		DR	3877	1,27	1,18
672	279	250	2	2		Cabarete		DR	3899	1,12	1,04
673	280	112	2	2		Cabarete		Coral	4048	2,5	2,33
674	280	140	2	2,5		Cabarete		C21	1449	2	1,86
675	281	112	1	1,5		Sosua		Coral	4053	2,51	2,33
676	284	118	2	1		Cabarete		West	3425	2,41	2,24
677	285	130	3	3		Cabarete		Coral	9052	2,19	2,04
678	285	149	2,5	4		Sosua		C21	3023	1,91	1,78
679	285	160	2	2		Cabarete		DR	1103	1,78	1,66
680	285	206	2	2,5		Sosua		Coral	6267	1,38	1,29
681	286	152	3	3		Sosua	2011	KI	369	1,88	1,75
682	286	152	2	2,5		Sosua		West	2319	1,88	1,75
683	286	153	2	2,5		Sosua		Coral	6186	1,87	1,74
684	289	148	2	2		Sosua		C21	2505	1,95	1,82
685	289	150	2	2		Cabarete		West	3343	1,93	1,79
686	289	162	2	2,5		Sosua		West	2320	1,78	1,66
687	289	189	3	2,5		Sosua		Coral	6259	1,53	1,42
688	289	800	8	8	0,1	Sosua	2008	KI	439	0,36	0,34
689	290	85	1	1		Cabarete		West	3393	3,41	3,17
690	290	102	2	1,2		Cabarete		C21	2968	2,84	2,64
691	290	157	2	2,5		Cabarete		C21	2552	1,85	1,72
692	290	158	2	2		Sosua		Coral	6098	1,84	1,71
693	290	159	2	2		Cabarete		Coral	6116	1,82	1,7
694	290	159	2	2,5		Sosua		DR	3988	1,82	1,7
695	290	160	2,5	2		Cabarete		DR	3984	1,81	1,69
696	290	160	2	2,5		Cabarete		Coral	6060	1,81	1,69
697	295	85	1	1		Cabarete		West	3394	3,47	3,23
698	295	100	1	1		Cabarete		DR	3941	2,95	2,74
699	295	125	2	2		Cabarete		Coral	6033	2,36	2,19
700	295	125	2	2		Cabarete		Coral	6045	2,36	2,19
701	295	125	2	2		Cabarete		Coral	6046	2,36	2,19
702	295	150	2	2		Cabarete		Coral	6254	1,97	1,83
703	295	183	3	2		Cabarete		Coral	6026	1,61	1,5
704	295	250	6	4		Sosua		DR		1,18	1,1
705	299	120	2	2		Cabarete		C21	2809	2,49	2,32
706	299	145	2	2		Cabarete		West	3608	2,06	1,92
707	299	148	2	2		Sosua		Coral	8221	2,02	1,88
708	299	150	2	2		Cabarete		Coral	81	1,99	1,85
709	299	160	3	2		Sosua		DR	3841	1,87	1,74
710	299	162	2	2,5		Sosua		Coral	6184	1,85	1,72
711	299	176	2	2,5		Sosua		Coral	6215	1,7	1,58
712	299	192	2	2,5		Sosua		C21	2385	1,56	1,45
713	299	220	3	3		Cabarete		DR	1458	1,36	1,26
714	299,5	155	2	2		Cabarete		Coral	6202	1,93	1,8
715	300	120	2	2		Cabarete		Coral	4038	2,5	2,33
716	300	124	2	2		Cabarete		Coral	9005	2,42	2,25
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
717	300	134	2	2		Cabarete		C21	2667	2,24	2,08
718	300	140	2	2		Cabarete		Coral	6032	2,14	1,99
719	300	152	2	2		Cabarete		West	2957	1,97	1,84
720	300	159	2	2,5		Sosua		DR	3987	1,89	1,75
721	300	175	3	3		Sosua		Coral	6128	1,71	1,59
722	305	153	2	2		Cabarete		Coral	3028	1,99	1,85
723	305	160	2	2,5		Cabarete		Coral	6052	1,91	1,77
724	306	160	2	2		Cabarete		KI	204	1,91	1,78
725	310	140	2	2,5		Cabarete		Coral	6209	2,21	2,06
726	319	147	3	2		Cabarete		West	2897	2,17	2,02
727	320	140	4	2		Sosua		West	3602	2,29	2,13
728	320	144	2	2		Cabarete		West	3161	2,22	2,07
729	320	159	2	2,5	0,1	Cabarete		C21	2920	2,01	1,87
730	322	159	2	2,5		Sosua		DR	3989	2,03	1,88
731	325	120	2	1		Cabarete	2008	KI	335	2,71	2,52
732	325	125	1	1		Cabarete		KI	160	2,6	2,42
733	325	128	2	2		Cabarete		C21	2087	2,54	2,36
734	325	160	2	2		Cabarete		DR	1569	2,03	1,89
735	325	177	2	2		Sosua		DR	1503	1,84	1,71
736	326	135	2	2		Cabarete		West	3676	2,41	2,25
737	329	148	2	2		Sosua		West	3498	2,22	2,07
738	330	132	2	2		Cabarete		Coral	9079	2,5	2,33
739	330	142	3	2		Sosua		Coral	6056	2,32	2,16
740	330	145	2	2		Cabarete		West	3388	2,28	2,12
741	330	155	2	2		Cabarete		West	3638	2,13	1,98
742	330	198	3	3		Cabarete		West	2503	1,67	1,55
743	330	198	3	2,5		Cabarete		Coral	6076	1,67	1,55
744	330	210	3	3,5		Cabarete		Coral	9002	1,57	1,46
745	333	102	2	2		Cabarete		West	3477	3,26	3,04
746	333	145	2	2		Sosua		KI	283	2,3	2,14
747	333	162	2	2,5		Cabarete		West	3670	2,06	1,91
748	335	128	2	2		Cabarete		C21	2063	2,62	2,43
749	335	160	2	2,5		Cabarete		Coral	9116	2,09	1,95
750	335	260	3	2		Cabarete		DR	3953	1,29	1,2
751	336	173	3	3		Cabarete		West	3667	1,94	1,81
752	339	199	2	2,5		Sosua		Coral	8064	1,7	1,58
753	340	120	2	1		Cabarete		KI	443	2,83	2,64
754	340	136	2	2		Cabarete		Coral	9110	2,5	2,33
755	340	221	3	3		Sosua		C21	2006	1,54	1,43
756	340	226	3	3		Sosua		DR	3751	1,5	1,4
757	340	228	3	3		Sosua		West	2039	1,49	1,39
758	344	143	2	1		Cabarete		West	3424	2,41	2,24
759	346	196	3	3,5		Sosua		DR	3994	1,77	1,64
760	349	125	2	2		Sosua		DR	4089	2,79	2,6
761	349	128	2	1		Cabarete		DR	1186	2,73	2,54
762	349	146	2	2		Cabarete		DR	1091	2,39	2,22
763	349	158	3	2		Sosua		DR	1205	2,21	2,05
764	349	159	2	2,5		Sosua		West	3728	2,19	2,04
765	349	183	3	2		Cabarete		Coral	6246	1,91	1,77
766	349	195	3	2		Sosua		West	3763	1,79	1,66
767	349	198	3	2		Sosua		C21	2587	1,76	1,64
768	350	166	2	2		Sosua		Coral	3033	2,11	1,96
769	350	167	3	3,5		Sosua		Coral	6204	2,1	1,95
770	350	178	3	2,5		Cabarete		C21	2547	1,97	1,83
771	350	196	3	3		Cabarete		C21	2434	1,79	1,66
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
772	350	279	2	2	0,5	Sosua		KI	300	1,25	1,17
773	350	344	2	2		Cabarete		Coral	5011	1,02	0,95
774	355	147	3	3		Cabarete		West	3677	2,41	2,25
775	356	130	2	2		Cabarete	1990	KI	276	2,74	2,55
776	356	197	3	3,5		Sosua		West	2318	1,81	1,68
777	358,5	145	2	2		Sosua		Coral	8049	2,47	2,3
778	359	160	2	2,5		Cabarete		C21	2846	2,24	2,09
779	360	117	2	2		Sosua		C21	2097	3,08	2,86
780	360	166	3	3		Sosua		C21	2744	2,17	2,02
781	367	158	3	2		Cabarete		DR	3955	2,32	2,16
782	369	140	2	2,5		Cabarete		C21	1553	2,64	2,45
783	369	330	4	3		Cabarete		DR	4034	1,12	1,04
784	375	146	2	2		Cabarete		DR	1092	2,57	2,39
785	375	170	2	2		Cabarete		DR	3885	2,21	2,05
786	375	192	4	4		Sosua		West	3746	1,95	1,82
787	375	199	3	3		Cabarete		DR	4053	1,88	1,75
788	375	265	4	4		Sosua		C21	1896	1,42	1,32
789	378	174	3	3,5		Cabarete		DR	3949	2,17	2,02
790	379	163	3	3		Cabarete		DR	3933	2,33	2,16
791	380	150	2	2		Cabarete		KI	345	2,53	2,36
792	380	165	2	2		Cabarete		DR	3882	2,3	2,14
793	380	200	2	2,5		Sosua		West	3193	1,9	1,77
794	382,5	153	2	2		Sosua		Coral	9014	2,5	2,33
795	384	128	2	2		Sosua		West	3521	3	2,79
796	385	85	1	1		Cabarete		Coral	9015	4,53	4,21
797	385	195	3	3		Cabarete		Coral	4018	1,97	1,84
798	387	115	2	2		Sosua		Coral	9056	3,37	3,13
799	389	128	2	2		Sosua		DR	4045	3,04	2,83
800	389	153	2	2,5		Sosua		Coral	6263	2,54	2,36
801	390	240	3	3		Sosua		West	3609	1,63	1,51
802	394	158	3	3		Cabarete		Coral	9109	2,49	2,32
803	395	150	2	2		Sosua		DR	1679	2,63	2,45
804	395	185	3	2,5		Sosua		Coral	9018	2,14	1,99
805	395	214	2	2,5		Sosua		C21	3113	1,85	1,72
806	395	214	2	2,5		Sosua		Coral	8080	1,85	1,72
807	395	222	3	3		Cabarete		Coral	6239	1,78	1,65
808	399	128	2	2		Sosua		C21	2660	3,12	2,9
809	399	160	2	2,5		Cabarete		Coral	6256	2,49	2,32
810	399	165	3	2		Cabarete		DR	1110	2,42	2,25
811	399	165	2	2		Cabarete		Coral	6195	2,42	2,25
812	399	170	3	3		Cabarete		DR	3887	2,35	2,18
813	399	226	3	3		Sosua		DR	3753	1,77	1,64
814	399	230	2	2		Cabarete		DR	3869	1,73	1,61
815	399	249	3	4,5		Cabarete		C21	2857	1,6	1,49
816	400	198	3	2,5		Cabarete		DR	3900	2,02	1,88
817	405	160	2	2		Cabarete		West	3741	2,53	2,35
818	405	198	3	2		Cabarete		C21	2899	2,05	1,9
819	405	234	3	3		Cabarete		C21	1982	1,73	1,61
820	419	146	2	2		Cabarete		DR	1957	2,87	2,67
821	419	180	2	2		Cabarete		KI	382	2,33	2,16
822	425	156	2	2		Cabarete		C21	2963	2,72	2,53
823	425	160	2	2		Cabarete		West	2881	2,66	2,47
824	425	185	3	3		Cabarete		DR	3886	2,3	2,14
