№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
97	65	65	2	1		Sosua		Coral	9076	1	0,93
98	65	75	2	1,5		Cabarete		West	3757	0,87	0,81
99	65	80	1	1	1	Sosua		C21	2153	0,81	0,76
100	66	60	1	1		Sosua		Coral	90	1,1	1,02
101	66	60	1	1		Sosua		Coral	8005	1,1	1,02
102	66	60	1	1		Sosua		Coral	8006	1,1	1,02
103	67	65	1	1	2	Sosua		C21	2631	1,03	0,96
104	68	62	1	1		Sosua		Coral	8073	1,1	1,02
105	69	46	1	1		Cabarete		Coral	9048	1,5	1,4
106	69	46	1	1		Cabarete		Coral	9065	1,5	1,4
107	69	58	1	1	1	Sosua		C21	2669	1,19	1,11
108	69	70	1	1		Sosua		DR	2969	0,99	0,92
109	69	78	2	1		Sosua		Coral	106	0,88	0,82
110	69	80	1	1		Cabarete		DR	3946	0,86	0,8
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
111	69	80	1	1		Sosua		DR	71	0,86	0,8
112	69,9	58	1	1		Sosua		Coral	8039	1,21	1,12
113	69,9	79	1	1		Cabarete		Coral	101	0,88	0,82
114	69,9	81	1	1		Sosua		Coral	9063	0,86	0,8
115	69,9	91	1	1		Sosua		Coral	87	0,77	0,71
116	70	55	1	1,5	0,8	Sosua		C21		1,27	1,18
117	70	59	1	1	0,5	Sosua		KI	150	1,19	1,1
118	70	59	1	1	2	Sosua		C21	2167	1,19	1,1
119	70	60	1	1	1	Sosua		KI	376	1,17	1,09
120	70	68	1	1	1	Sosua		C21	2406	1,03	0,96
121	70	78	1	1,5		Sosua		C21	2038	0,9	0,83
122	70	80	2	2	1,5	Sosua		C21	2885	0,88	0,81
123	72	59	1	1		Cabarete		Coral	6112	1,22	1,13
124	73,5	50	1	1	0,1	Cabarete		C21	2888	1,47	1,37
125	74,9	61	1	1		Sosua		Coral	8047	1,23	1,14
126	74,9	91	1	1		Sosua		Coral	6194	0,82	0,77
127	75	50	1	1		Cabarete		Coral	27	1,5	1,4
128	75	53	1	1	0,1	Cabarete		C21	2814	1,42	1,32
129	75	54	1	1	0,2	Cabarete		C21	2636	1,39	1,29
130	75	55	1	1,5	0,8	Sosua		C21	2727	1,36	1,27
131	75	58	1	1	0,9	Sosua		C21	2249	1,29	1,2
132	75	59	1	1		Cabarete		DR	4002	1,27	1,18
133	75	62	1	1		Cabarete		Coral	8029	1,21	1,13
134	75	80	1	1	0,5	Cabarete		C21	3088	0,94	0,87
135	75	120	2	2		Sosua		Coral	8051	0,63	0,58
136	77	55	1	1		Cabarete		KI	353	1,4	1,3
137	77	55	1	1		Sosua		DR	3760	1,4	1,3
138	77	60	1	1		Sosua		Coral	8007	1,28	1,19
139	78	52	1	1		Sosua		KI	292	1,5	1,4
140	78	52	1	1	1	Sosua		KI	293	1,5	1,4
141	78	59	1	1		Sosua		Coral	8012	1,32	1,23
